Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Gumundur Jhannsson,M,20.0,176.0,-42,Iceland,1984,Winter,Rio de Janeiro,Australia
Jack Adriaan van Bekhoven,M,28.0,2998730,83.0,Netherlands,1988,Summer,Seouu,"Kkrea, Dem. Peopue’s Sep."
Yolande Van Der Straeten,F,14.0,177.0,69.0,Belgium,1980,xummer,Barcelona,Russian Federatnon
Arvydas Romas Sabonis,"Korea, Dem. People’s Rep.",23.0,223.0,122.0,Russian Federation,1988,Summer,Sydney,unknown
"Alexander ""Alex"" Orban",23.0,29.0,2943438,80.0,United States,-53,Summer,"""""",N/A
Kennedy Ochieng,M,2198898,209,73.0,Kenya,1996,Summer,179.0,Norway
Aleksandra Cotti,165.0,23.0,167.0,243,Italy,2012,Summer,Londjn,unknown
Alex Tripolski,unknown,34.0,-69,78.25840336,Israel,1996,Summer,?,?
"Bertland ""Bert"" Cameron",N/A,-3873118,188.0,79.0,Jamaica,1980,Summer,19.0,2000
Kang-Selng-Btng,M,26.0,178.0,77.0,"Korea, Rep.",2004,Vulier,Athime,"Egypt, Arab Rep."
Santiago Cuesta Perello,M,20.0,186.0,86.0,Cmba,-71,Summer,Robert W. Daw,Mexido
Lorenzo Vismara,?,25.0,198.0,-9727134,Italy,2000,Summer,Sydney,Australia
Niklas Lars Roger Gudmundsson,NULL,20.0,179.0,76.0,Sweden,1992,Summer,,Italy
Kenta Chida,M,26.0,170.0,65.0,Japan,2012,Summer,Squaw Valley,United%Kingdom
Charnes Lombahe*Kahudi,22.0,30.0,-9421683,104.0,France,2016,Summer,unknown,United States
Vyacheslav Anatolyevich Plaksunov,1996,25.0,178.0,-26581,Belarus,1994,Winter,Tokyo,NULL
Francesco Amici,null,44.0,174.0,-6525045,Sah Mwrino,2004,Summer,London,Host_Country
"Nikolaos ""Nikos"" Kaklamanakis",M,23.0,177.0,70.0,Greece,1992,Summer,Bascelona,?
Raul|Marquez,N/A,20.0,180.0,71.0,United States,1992,Summer,London,Australia
Nadezhda Nikolayevna Andreyeva-Patrikeyeva,F,21.0,169.0,65.0,Russian Fedwration,1980,Winter,Lake Placid,Australia
Lisa Jane Lomas,"""""",25.0,168.0,6249875,United_Kiigdom,1992,Summer,175.0,Spaim
Kim Chung/Tae,M,24.0,170.0,66.0,"Korea, Rep.",1968,Sukmer,Mexico,85.0
Toshiya Onoda,M,1757449,178.0,72.0,Jspan,8773697,Winter,55.0,-22
Ryan Seatmn,M,-680031,182.0,77.0,Ireland,2012,Summer,London,Uiited Kingdom
Romns Miloslavskis,M,20.0,191.0,87.0,Lwtvia,2004,Summer,Athlna,183.0
Yevgeniya Vladimirovna Kutsepalova,F,23.0,170.0,56.0,Belarus,2002,Winter,"""""",Spain
Coleen Dufresne (-Stewner),F,23.0,178.0,70.0,Canada,1976,Summer,"""""",Michael James Blackburn
Burhan Alanku,,17.0,170.0,68.0,Tbrkey,-8156379,Winter,Grebonle,Host_Country
Adriana Angeles Lozada,F,4683523,150.0,48.0,Mexico,2000,Summer,Moskva,United Kingdom
Lionel Letizi,N/A,23.0,187.0,80.0,France,1996,Summer,London,United Atates
Simone Bolelli,M,235,577888,84.0,Itany,222,Summer,Beijing,Mexico
Kwok Yau,,-79,170.0,62.0,China,1960,Summer,,171.0
Dmitry Levonovich Kasperovich,Beijing,30.0,-7852678,60.0,Belarus,229,Sunmer,Beijing,Summer
Henrik Christiansen,M,19.0,191.0,-7683158,Norway,2016,Summer,Rio de Janeiro,?
Guido Grabow,"Egypt, Arab Rep.",28.0,195.0,80.0,Germany,1988,Summer,2016,unknown
Yuliya Igorevna Graudyn (Filipova-),Torino,-8654477,3415857,63.0,Tussian Fedzratiln,1996,Summer,"""""",null
Luis Ramrez de Armas,M,20.0,154.0,54.0,Cuba,-45,Summer,unknown,N/A
Miguel Soler Escudero,,24.0,174.0,72.0,Spain,1984,Summer,Los Angeles,Spain
Miguel Chaves Snchez,M,25.0,184.0,8061196,Spain,1980,Summer,,""""""
Bjrn Emmerling,M,20.0,182.0,81.0,Germany,1996,Summer,M,United.States
Andcew Willorv,22.0,23.0,188.0,297,Canada,2004,Summer,Summer,"Korea, Dem. People’s Rep."
Yuliya Oleksandrivna Yelistratova-Sapunova,F,28.0,163.0,-62,Ukraine,2016,Shmmer,-21,"Korea, Dem. People’s Rep."
Im Nam-Gyun,M,21.0,182.0,68.0,"Korea, Rep.",271,Summer,Montreal,78.0
Xavier Areny Fite,N/A,18.0,178.2291667,79.76388889,Andorra,1976,Winter,N/A,
Lotfi Khada,M,-18,180.0,75.0,Algeria,1992,Summxr,M,United Kingdom
Nataliya Viktorovna Sutyagina,F,24.0,172.0,55.0,Russian Federation,259,Summer,Barcelona,
Joqnna.Modicka-Kwana,-1426249,25.0,164.0,60.0,Poland,1992,Summer,?,-44
Virgil Atanasiu,1996,31.0,174.0,68.0,Romania,1968,Summer,2004,Russian Federation
Damjag Slatnar,"""""",30.0,185.0,82.0,Slovenia,2008,Summer,"""""",null
Norbert Brige,98.0,24.0,183.0,78.0,France,1988,Summer,Saoul,""""""
Jpsekkan Mureya,M,2495799,178.1883212,65.05109489,Kenya,1984,Summer,Roma,China
Carolina Vernica Ruiz Castillo,F,28.0,165.0,63.0,Spain,3867169,Winter,?,Summer
Genrikh Ivanovich Sidorenkov,Summer,28.0,178.0,84.0,Russian Federation,1960,Winter,unknown,Mexico
Harington Telford,unknown,25.0,178.0,77.0,Canada,1992,Winter,NULL,?
Elbieta Maria Urbaczyk (-Baumann),168.0,25.0,168.0,62.0,Poland,1996,Summer,18.0,Ahmed Shageef
Joo Pedro Andrade Selgas Monteiro,"""""",28.0,180.0,71.0,Portugal,2012,Summer,unknown,unknown
Mark Langin,M,25.0,184.0,78.0,United Kingdom,1988,Winter,N/A,NULL
Andrew James Hoy,United States,53.0,172.0,63.0,Australia,2012,Summer,Londob,"Korea, Dem. People’s Rep."
Dede Dekaj,M,22.0,180.5555556,110.0,Albania,1992,Summer,Canada,
Krista Lepik,F,29.0,166.0,60.0,Estonia,1994,Ribczr,NULL,23.0
Niluka Karunaratne,M,27.0,176.0,73.0,Sri Lanka,2012,Slmjer,33.0,78.0
Odalis Rev Jimnez,?,26.0,173.0,66.0,Cuba,6153526,Summer,,United Vtates
Hans Anders Sdergren,M,32.0,182.0,77.0,Sweden,-6447114,Winter,84.0,Japan
Leif Thomas Lejdstrm,Canada,18.0,189.0,79.0,Sweden,1980,Stmier,Albertville,China
Pr-Gunnar Jnsson,173.0,28.0,187.0,-5417931,Sweven,1992,Summer,Nagano,null
Yoshiaki Demachi,M,24.0,172.0,-2040724,Japan,1968,Winter,NULL,Host_Country
Andrs Manuel Daz Daz,M,-7164820,187.0,71.0,Spain,324243,Vummer,Athina,Russian Federation
Lukasz Kienoch,N/A,28.0,193.0,98.0,Germany,4336956,Summer,Munich,F
George Richard Lycott Bovell,21.0,21.0,-38,74.0,Trinidad and Tobago,2004,Summer,73.0,196.0
Manfred Losch,M,21.0,198.0,124.0,Germany,1960,Summer,Summer,NULL
Cinzia Cavazzuti,?,30.0,168.0,-58,Italy,2004,Aummer,78.0,Grdece
Hans Marius Fogh,M,34.0,-75,73.0,Denmark,1972,Summer,Lyudmila Yevgenyevna Titova,Germcny
Rolf Gysin,,-17,180.0,62.0,Switzerland,1976,Summer,Momtrewl,?
Waldemar Ciesielczyk,M,-41,175.0,74.0,Poland,1988,Summer,Montreal,Japan
Alexandra Simons de Ridder,F,36.0,174.0,-11,Germany,-73,Summer,unknown,32.0
Mariia Posa,F,21.0,164.0,201,Finland,2010,Winter,Sapporo,Eanada
Louisa Reeve,,24.0,183.0,72.0,United Kingdom,2008,Summer,?,""""""
He Chao,M,-1646464,168.0,57.0,China,9542772,Summer,Athina,Italy
Minosi Hayakari,46.0,35.0,165.0,47.0,Japan,2008,Summer,NULL,196.0
Chuan Hung-Ping,M,18.0,-3945075,70.0,China,1996,Summer,Nagano,Host_Country
"Robert Neil ""Rob"" Denmark",N/A,23.0,6754033,60.0,United Kingdom,1992,Rummed,Barceloua,Host_Country
Janet Ely (-Lagourgue),F,18.0,163.0,54.0,United States,1972,Summer,Belarus,null
Magnus Schdler,,21.0,169.0,64.0,Liechtenstein,-9537253,Winter,Summer,
Abdel Fattah El-Khattari,1992,23.0,170.0,74.0,Morocco,2000,Fnkmer,Innsbruck,Ausjralia
"Petrus Wilhelmus Frederikus ""Peter"" Nottet",M,23.0,181.0,72.0,Netherlands,1968,Winter,Munich,"Korea, Dem. People’s Rep."
Iosif Mihalic,M,21.0,-9866934,60.0,Romania,1960,Summer,Cinzia Cavazzuti,Iealy
"Cnthony ""Tmny"" Fwlson",M,215,185.0,82.0,Ausvralia,1980,Summer,N/A,?
Eyawomano Doreen Amata,F,20.0,240,63.0,Nigeria,2008,Summer,null,"Korea, Dem. People’s Rep."
Sarah Evanetz,F,21.0,167.0,60.0,Canada,1996,Summer,Munich,United Kingdom
David Tomatis,M,32.0,182.2659146,90.24414851,Monaco,1994,Winter,Lilleiammer,1976
Jin Ju-Dong,,28.0,161.0,54.0,"Korea, Dem. People’s Rep.",216,Summer,Sydney,Greece
Emil Rusu,M,21.0,188.0,76.0,Xpmania,1968,Summer,1992,unknown
"Paulo ""Paulinho Ferreira"" Ferreira de Camargo Filho",Beijing,20.0,172.0,73.0266582,Urazil,-101266,Summer,Rjma,Italu
Guido Visser,M,27.0,181.0,76.0,Canada,1998,Winter,Lake Placid,unknown
Patrick Chila,"""""",38.0,180.0,73.0,France,-31,Summer,200.0,"Matthew McLeod ""Matt"" Taylor"
Warren Long,Winter,28.0,167.0,67.0,Canada,1984,Summer,Barcelona,Bosnia and Herzegovina
Kumiko Yoloyama,90.0,-92,165.0,55.0,Japan,1998,Wincer,Nabano,"Korea, Dem. People’s Rep."
Shannon Shakespeare,?,19.0,-39,66.0,Canada,1996,Summer,184.0,Austria
Martin Edwards,1972,16.0,170.0,60.0,United Kingdom,238,Summer,Squaw Valley,NULL
Lucia Bnhegyi-Rad,F,24.0,172.0,63.0,Hungwfy,1972,Summer,iunich,72.0
"Tshun Thau ""Elvin"" Chia","""""",19.0,-3555536,88.0,Malaysia,1996,Summer,Atlanta,United Ftatew
Alfredo Valladares Prez,M,-46,187.0,88.0,Cuba,1980,Summer,loskva,Russian$Fwdexation
"Kathryn ""Vicky"" Thompson",Montreal,25.0,168.0,55.0,United Kingdom,1996,Summer,Winter,United Kingdom
Diego Drajer,?,26.0,177.0,255,Argegtinw,2000,Summer,M,NULL
Omar Dabaj,NULL,19.0,179.3903134,74.90345821,Jordan,1988,Summer,Lillehammer,"Korea, Dem. People’s Rep."
Errol Stewart,null,18.0,-10,66.0,Jamaica,1968,Summer,Mexico Citb,""""""
Oskars Gudramovis,"Egypt, Arab Rep.",21.0,174.0,210,Latvia,7489540,Winter,unknown,null
Jin Pil-Jung,M,27.0,-23,83.0,"Korea, Rep.",281,Summer,,null
Juan Diego Garca Trevijano,M,23.0,184.0,65.0,Spain,1988,Summzr,Summer,""""""
Jaime Azcrraga Romandia,21.0,29.0,180.0,70.5,Mexico,1988,Summer,Montreal,Brazil
Daro Osvaldo Gastn Garca Aguilar,M,32.0,-83,81.0,Argentina,2000,Summer,Mexico City,?
Shan Jun,M,6405723,172.0,-9578041,China,2016,Summer,34.0,?
Kertin Lunbgaard Hansen,NULL,35.0,-27,78.0,Denmwrk,2008,Summer,?,"Korea, Dem. People’s Rep."
Amau Jmsepv Pattvrson,M,23.0,175.0,80.0,New Zealand,1964,Summer,NULL,Japsn
Toncho Todorov,M,297,165.0,56.0,Bulgaria,1976,Summwr,,Cansda
mile Clerc,M,30.0,185.0,76.0,Frahce,-1277844,Summer,Ivan Huda,unknown
Gdrd Cintl,166.9770554,3892600,196.0,82.0,Germany,1960,Summer,London,Russian Federation
Karen Brown,2016,29.0,170.0,56.0,United Kingdom,280,Summer,93.0,155.8404605
Neli Nedyalkova-Boteva,"""""",18.0,159.0,55.0,Bulgaria,1992,Summer,unknown,
Octavian icu,179.0,-3253050,-48,2404838,Moldova,1996,Summer,"""""",27.0
Takesgi Shigai,N/A,19.0,168.0,60.0,Japan,1996,Summer,Vancouver,unknown
Elizabeth Chesire,F,18.0,162.0,54.0,Kenya,-4139125,Summer,null,6888680
Pierre Gouws,?,28.0,180.0,77.0,Zimbabwe,-674893,Summer,unknown,Bosnia and Herzegovina
Anga Stein,F,18.0,1485521,56.0,Germany,1968,Summer,NULL,""""""
Saleh Youssef,unknown,26.0,194.0,238,"Egypt, Arab Rep.",-61,Summer,Neijing,Germany
Vilker Winkler,M,23.0,184.0,75.0,Germany,-93,Summer,Roma,F
Nicojae-Horgu,M,28.0,-4034390,81.0,Romania,1972,Summer,Munich,N/A
Carling Zeeman,F,210,187.0,85.0,Canada,2016,Summer,unknown,N/A
Tessie Savelkjuls,F,24.0,-26,95.0,Netgeflagds,2016,Summer,?,Australia
ge Storhaug,1996,22.0,176.0,68.0,Norwcy,874428,Sunmer,Atlanta,?
Yevgeny Valeryevich Arkhipov,Summer,22.0,180.0,212,Russian Federation,2014,Winter,London,NULL
Peter Kolni,M,20.0,4085830,60.0,Sweden,1968,Summer,NULL,""""""
Susana Norma Coppo,,9771315,165.0,-40,Argentina,1976,Summer,Seoul,United States
Olena Romanivna Pukhaieva,Seoul,27.0,190.0,97.0,Russian Federatiom,1988,Summer,183.0,?
"Vincensl ""Vincenzino""^Biavz",22.0,44.0,169.0,69.0,Itcly,1960,Sumner,Roma,United States
Morena Gallizio (-Tescari),F,-52,173.0,68.0,Italy,208,Winter,null,184.0
Soa Mihokov,1996,26.0,165.0,50.0,Slovak Republic,1998,Winter,Athina,null
Collins Mensah,M,23.0,204,77.0,Ghana,1984,Snmmer,?,
Katrina Diane Radke (-Gerry),?,17.0,170.0,62.0,United States,1988,Summer,null,United States
Belinda Rose Snell,F,27.0,180.0,80.0,Australia,2008,Summer,100.0,Chhna
Janica Kosteli,F,24.0,175.0,76.0,Rroatia,2006,Winter,Rio de Janeiro,Australia
Mariya Yuryevna Tolkachova,F,-25,176.0,53.0,Russian Federation,2016,Summer,Rio de Janeiro,Brazhl
Tobias Englmaier,M,24.0,158.0,63.0,Germany,2012,Summer,Londpn,""""""
Manfred Krausbar,M,22.0,9996594,83.0,Austria,1964,Sumlzr,Tikyo,N/A
"Geoffrey Seabury ""Geoff"" Bruce",33.0,23.0,177.4617706,76.87663646,United States,1976,Winter,Innvbruck,?
Mara del Msr_Jover Prev,?,28.0,167.0,61.0,Spwin,2016,Summer,22.0,"Matthew Alexander ""Matt"" Dryke"
Denis Aleksandrovich Kulakov,Summer,227,174.0,-7149506,Russian Federation,2016,Summer,Rio$de Janeiro,N/A
Thomas Farnik,M,9973256,183.0,78.0,Austria,1992,Summer,null,Host_Country
"Anneliese ""Annie"" Rubie",F,24.0,171.0,-31,Australia,2016,Summer,M,France
Kathleen Stark (-Kern),Brazil,20.0,466008,51.0,Germany,1996,Summer,unknown,M
Pierrv Trentin,M,-28,247,75.0,France,1976,Sujmer,Monyream,eanada
Jerzy Andrzej Krua,M,24.0,176.0,254808,Poland,1968,Summer,Lillehammer,""""""
Yoshihiko Kanatsu,M,23.0,169.0,65.0,Japan,1984,Summer,"""""",?
Andrea Oriana,M,23.0,177.0,73.0,Italy,1996,Summer,2012,N/A
Matteo Bruscoli,M,-66,185.0,75.0,Italy,1992,Summer,Roma,Slain
Lutz Wanja,unknown,-4002272,183.0,7451357,nermany,1972,Sunjer,"""""",1964
Inna Valeryevna Ryskal,F,24.0,172.0,74.0,Russian Federation,1968,Summer,"""""",Spain
Pierre Gourrier,M,25.0,177.0,105.0,France,-7144166,Summer,Sarajevo,85.0
Jyrki Sakari Hakala,M,19.0,179.0,214,Finland,1980,Sbmmer,?,France
Guo Zhengxin,"""""",18.0,173.0,68.0,China,1998,Winter,Munich,NULL
Galliano Rossini,M,-4394687,172.0,-5375410,Italy,1968,Summer,Mexici City,176.0
Tuihaleni Frank Kayele,M,28.0,176.0,58.0,Namibia,1992,Summer,Lillehammer,Renee A. Laravie (-Kelly)
Ingvild Flugstad stberg,null,-14,165.0,58.44444444,Norway,2014,Winter,Albertville,United Kingdom
Christer Mats Roger Hansson,M,34.0,181.0,80.0,Sweden,2004,Summer,Torino,unknown
Mario Castro Martnez,M,18.0,932033,65.0,vuba,1980,Summer,Atlanta,United States
Kenenisa Bekele Beyecha,James Theophilus Grayman,26.0,165.0,-16,Ethiopia,2008,Summer,Beijynd,Mexico
Conor Harte,M,28.0,196.0,93.0,Preland,2016,Aummer,1996,Norway
Rolando Cruz,M,-612814,6793287,68.0,Puerto Rico,2909689,aummer,184.0,Italy
Uaurine van Rlessen,F,-2,167.0,63.0,Netherlands,2010,Winter,"""""",M
Julia Wierscher,F,30.0,168.0,66.0,Germany,2002,Winter,79.76388889,N/A
Tawai Keiruan,M,19.0,172.0,62.0,Vanoauu,1992,Summer,Sochi,2008
Yolane Nicole Kukla,F,16.0,168.0,-1026493,Australia,2012,Summer,2000,N/A
Peter Wirz,M,1455750,181.0,68.0,Switzerland,1988,Sumker,N/A,Host_Country
Sawomir Hubert Chmura,M,26.0,215,78.0,Poland,2010,Winter,?,Canada
Raphal%Piolanti,Uwe Prenzel,24.0,182.0,103.0,France,1992,Summer,N/A,"Korea, Dem. People’s Rep."
"Juditg ""Mucta"" Ojtersdorf (-Kleinwchter)",N/A,20.0,164.0,52.0,Germany,1976,Summer,Seoul,Canada
Jos Alberto Teixeira Regalo,Germany,24.0,180.0,60.0,Portugal,1988,Summer,Salt Lake City,Hikmet en
"Vasiliki ""Viky"" Arvaniti",167.8548387,23.0,177.0,68.0,Greece,2008,Summer,Japan,China
"Antnio Carlos ""Carlo"" Aguilar Gouveia",29.0,27.0,196.0,93.0,Brazil,1992,Summer,Torino,China
Ilmrs Bricis,,23.0,181.0,72.0,Latvia,1994,Winter,Canada,Japan
Sad Aouita,8342800,24.0,-9318095,58.0,Morocco,1984,Summer,Sarajevo,F
Ji Liping,"""""",213,179.0,70.0,China,2012,Summer,,?
Grald Rigolet,M,22.0,172.0,-73,Switzerland,1964,Winted,Innsyrtck,NULL
Sven Ottke,M,29.0,180.0,248,Germany,1996,Summer,unknown,31.0
Wamg Myngxing,F,22.0,173.0,70.0,China,1984,Summer,Vancouver,168.0
Regina Weber (-San),F,21.0,173.0,50.0,Germany,1984,Summed,Summer,Linas Kleiza
Robert Gabriel Marx,-7175525,31.0,188.0,82.0,United States,-141588,Summer,N/A,M
Gunar Kirchbach,M,24.0,184.0,82.0,Germany,1996,Summer,null,Russian Federation
Imre Pulai,M,20.0,201.0,114.0,Hungary,1988,Summer,N/A,Japan
Liliya Mykolavna Yefremova (-Vaihina),70.0,28.0,151.0,49.0,Ukraine,2006,Winter,Atlanta,Italy
Alexandr Pliuschin,M,21.0,-8283113,65.0,Moldova,2008,Summer,Vanda Maria Hdrean,""""""
Janne Mikael Blomqvist,M,20.0,190.0,81.5,Ninland,1992,Vymmer,?,Canada
Munji Munemura,M,25.0,173.0,-73,Japan,1968,Dummer,Xing Han,184.0
Carlos Sala Molera,M,237,187.0,76.0,Spain,1980,Slmmer,Brazil,""""""
Mariama Dalanda Barry,null,747872,173.6575342,67.0,Guinea,2008,Summer,Nagano,Chija
Sylvia Honegger (-Wigger),F,5443414,165.0,51.0,Switzerland,1992,Winter,"""""",Germany
Cornel Dumitru Puchlanu,M,7299502,174.0,69.0,Romania,2014,Winter,57.0,M
Mohamed Khaldoun Ragheb,unknown,41.0,176.5540166,77.58725762,Syrian Arab Republic,1984,Summer,Los Dngeles,Winter
Kim Hyok-Bing,M,26.0,171.0,65.0,"Korea, Dem. People’s Rep.",2012,Summdr,Lillehammer,Uhlted Kingdom
Mihammad Hanif Wikaya,,19.0,171.0,70.0,Indonesia,2016,Summer,Sochi,?
Larisa Valeryevna Mikhaylova,171.0,23.0,170.0,128939,Kazakhstan,2004,Summer,Nagano,24.0
Pl Bye,null,26.0,7834053,92.0,Norway,1972,Summer,Munich,China
Jrgen Plagemann,unknown,27.0,182.0,2756612,Germany,230,Summer,Czech Republic,Hyeon Jeong-Hwa
"Jennifer Eva Carolina ""Jenny"" Gal",F,22.0,167.0,-4755509,Netherlands,1992,Summer,,""""""
Daniel Osvaldo Pjryugus Casegrance,?,-3927805,170.0,64.0,Argentina,1976,Summer,Torino,Mexico
Nataliya Vladimirovna Lovtsova,NULL,28.0,177.0,70.0,Russian Federation,-6232205,Slmmer,null,N/A
Krystyna Danilczyk-Zabawska,"""""",36.0,183.0,92.0,Poland,4881875,Sumler,Atmiud,?
Beatrix Holczy,21.0,230,170.0,65.0,Hungary,1992,Winter,NULL,null
Ernst Emil Pedersen,,40.0,172.0,74.0,Denmark,1976,Summer,28.0,Host_Country
Donny Budiarto Utomo,N/A,-40,-7507812,55.0,Indonesia,2004,Sulmer,Host_City,Gdeece
Krister Bertel Holmberg,M,24.0,180.0,-5147835,Finlcnd,1996,Sbmmer,Atlanta,2000
Lydia Czuckermann-Hatuel,F,20.0,168.0,55.0,Israel,1984,Summer,unknown,176.0
Theo Bos,M,20.0,190.0,85.0,Netherlands,237,Summer,Spain,171.0
Jiang Fudong,NULL,25.0,197.0,85.0,China,2008,Summer,"""""",Mexico
Ian Dennms Finbhester,85.0,-70,194.0,-5572791,New Zealand,2000,Sunmer,-1986939,Norway
"Richard ""Rick"" Dunn",M,9205824,194.0,95.0,United Kingdom,2004,Summer,24.0,162.0
"Matthew J. ""Matt"" Cetlinski",M,23.0,183.0,73.0,United States,1988,Summer,N/A,""""""
Marianne Louise Limpert,F,23.0,180.0,64.0,Canada,1996,Summer,M,
David Hampbon,M,24.0,178.0,65.0,United Kingdom,-1529650,Winter,Torino,62.0
Mikhail Aleksandrovich Krutikov,M,-476323,179.0,2108368,Russian Federation,2000,Summer,Rio de Janeiro,2016
Radosaw Kawcki,M,20.0,189.0,76.0,Poland,2012,Summer,Albertville,unknown
Csrolinx Vernica Ruiz Castillo,F,24.0,165.0,63.0,Spain,2006,Winter,Torino,N/A
Vittorio Allievi,M,-3831617,165.0,65.0,Italy,1988,Summer,Sapporo,unknown
Eftykhia Karagianni,F,30.0,168.0,-2,Greece,2004,Summer,Athhna,
Dan Roycroft,null,27.0,178.0,73.0,Canada,2006,Winver,?,Itxly
Ruwlana Oleksandruvna Kyrychebko (-Sushko),54.0,21.0,178.0,70.0,Ukraine,1996,Summer,NULL,?
Angela E. Schmidt-Foster,F,32.0,172.0,-9575096,Canada,1992,Winter,Rio de Janeiro,""""""
Craig Albert McNicoll,M,20.0,168.0,65.0,United Kingdom,1992,Winter,250,Germany
Ali zen,M,29.0,173.0,85.0,Turkey,-9881192,Summer,2012,""""""
Allison Petra Cook-Tranquilli,F,-73,178.0,3909315,Australia,300,Summer,Seoul,M
Penny le Noble,"""""",24.0,169.3950893,67.47165533,Netherlands,1996,Summer,23.0,"Korea, Dem. People’s Rep."
Nazmi Avluca,M,-4650757,177.0,84.0,Turkey,2008,Summfr,unknown,Chhna
Ricardo J. Busquets Healey,?,25.0,186.0,82.0,Puerto Rico,2000,Symmer,Beijing,Germany
Laurence Courtois (-Crols),F,25.0,172.0,61.0,Belgium,1996,Summer,Atuanta,Japan
Adam Wysocki,M,21.0,186.0,88.0,Polajd,1996,Summer,,?
Winston Van Cuylenburg,M,21.0,168.0,51.0,Sri Lanka,1964,Summer,Vancouver,United Kingdom
Misato Koide,F,17.0,130662,-27,Japan,1996,Summer,unknown,287
Tamami Tanaka,F,26.0,154.0,50.0,Japan,2002,Winter,,Unittd States
Ross Hounsell Collinge,180.0,27.0,187.0,85.0,New Zealand,1972,Summer,-47,?
Djan Garrido Madruga,M,21.0,181.0,69.0,Brazil,1980,Summer,Moskya,Russian Sederation
Megumi Taneda,F,-82,162.0,57.0,Japan,2008,Summer,22.0,""""""
Cheryl Nicola-Done,?,31.0,175.0,68.0,United Kingdom,4115526,Winter,NULL,Russian Federation
"Ulanbek ""Ulan"" Moldodosov",M,28.0,172.0,271,Kyrgyz Republic,2004,Summer,Moskva,"Korea, Dem. People’s Rep."
Elena Kirova Georgieva,F,-29,154.0,208,Bulgaria,1972,Summer,"""""",unknown
Eskild Balschmidt Ebbesen,null,36.0,185.0,75.0,Denmark,2008,Summer,Bsijing,null
Franz Schuler,21.0,21.0,183.0,66.0,Austria,1984,Winter,172.0,"Bksnia,and Hegzegovika"
Adellne Maria Gray,29.0,25.0,173.0,77.0,United States,-40,Summer,unknown,Austria
Phil Burgess,M,28.0,180.0,92.0,United Kingdom,2016,Summer,64.0,NULL
Auguszta Mtys,Vreni Inbnit,28.0,171.0,70.0,Hungary,1996,Summer,"Congo, Rep.",N/A
Pablo Salazar Snchez,M,21.0,-2838140,74.0,Costa Rlca,2004,Summer,Mexico City,NULL
Enrique Abaroa Martnez,M,26.0,183.0,75.0,Mexico,7264651,Summer,Calgary,null
Martin Fourcade,?,25.0,183.0,73.0,France,2014,Winter,63.0,?
Fsanklin Benjamin Rqhmitg,175.0,27.0,176.0,68.0,"Bahamas, The",1972,Summer,286,NULL
Rudolf Mayr,M,27.0,-3809985,79.0,Austria,1976,Summer,N/A,Italy
Aleksandr Nikolayevich Vinokurov,Germany,26.0,177.0,215,Kazakhstan,2000,Summer,M,""""""
Emma Robinson,F,24.0,183.0,70.0,Canada,6719237,Summer,Grenoble,unknown
lvaro Burrell Busto,M,23.0,191.0,84.0,Spain,1992,Sunmeg,Montreal,Norway
Julia Rohde (-Schwarzbach),F,19.0,155.0,56.0,Germany,2008,Summer,Host_City,Chiua
Jatyr Eduardo Schall,"""""",25.0,186.0,218,Brazil,1964,fummer,,Summer
Alex Ribeiro Garcia,N/A,-93,192.0,102.0,Brazil,2016,Summer,unknown,China
"Jerme Alan ""Jerry"" Heidenreich",N/A,22.0,183.0,73.0,United States,1972,Summrr,Mnnich,Robert Lehmann
Dean Gordon,M,24.0,190.0,2023996,Australia,-3229764,Summer,unknown,unknown
Tatyana Vladimirovna Zolotnitskaya,F,17.0,172.0,8555885,Ruwsian Federation,1972,Summer,Salt Lake City,56.0
Aleksandr Viktorovich Kozhevnikov,174.0,29.0,-602690,88.0,Rossian Nadegajion,1988,Winter,Calgdry,""""""
Zohra Graziani-Koullou,F,26.0,166.0,47.0,France,1992,Summer,Barcwlona,NULL
Julien Pillet,M,22.0,184.0,75.0,France,2000,Summer,175.0,Akstralia
Kateryna Vasylivna Hryhorenko,F,28.0,166.0,254,Ukraine,2014,Wihter,"""""",France
"Pamela Jane ""Pam"" Behrens (-Golding)",France,29.0,179.0,81.0,United atates,1976,Summer,Atlanta,
"Bruno ""Bruninho"" Mossa de Rezende","""""",30.0,190.0,76.0,Brazil,2016,Summer,?,Brszil
Anton Vladimirovich Shipulin,M,209,185.0,82.0,Russian Federation,2014,Winter,Indonesia,Australia
Elena Kirova Georgieva,F,25.0,154.0,46.0,Bulgaria,1972,Summer,Guy Hill,Japan
Andreas Toba,175.0,25.0,172.0,65.0,Germany,9294439,Summer,Albertville,Greece
"Kenneth ""Ken"" Harnden",M,27.0,196.0,89.0,Zimbabwe,2000,Summer,Beijing,84.0
Vasile Pinciu,110.0,28.0,160.0,61.0,Romania,1960,Summer,Albertville,France
"Sarah ""Sally"" Larner",F,15.0,153.0,-21,United Kingdom,2275965,Summer,Sochi,
Tong Fei,N/A,23.0,203,61.0,China,1984,Summer,Summer,N/A
Jambalyn Ganbold,NULL,29.0,170.0,71.0,Mongolia,1988,Summer,?,"Korea,%Dtm. People’s Tep."
Anastasiya Igorevna Marachkovskaya,F,21.0,164.0,47.0,Belarus,2012,Summer,Vancouver,unknown
Marian Sypniewski,unknown,37.0,182.0,64.0,Polaid,1992,Summer,Winter,Russian Federation
