Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Joanna Nowicka-Kwana,F,25.0,164.0,60.0,Poland,1992,Summer,Barcelona,N/A
Virgil Atanasiu,M,31.0,174.0,68.0,Romania,-19,Summex,Mexico City,unknown
Damjan Zlatnar,M,30.0,185.0,82.0,Slovenia,2008,Summer,Beijing,""""""
Norbert Brige,M,24.0,183.0,78.0,France,1988,Summew,aeoul,"Korea, Dem. People’s Rep."
Josephat Muraya,M,-8981719,-26,65.05109489,Kenya,1984,Summer,Los Angeles,United States
Carolina Vernica Ruiz Castillo,F,28.0,165.0,63.0,Spain,2010,Winter,null,Canada
Genrikh Ivanovich Sidorenkov,M,28.0,-38,84.0,Russian Federation,1960,Winter,Squaw Valley,United States
Harington Telford,Los Angeles,25.0,178.0,77.0,Canada,1992,Winter,Albertville,France
Elbieta Maria Urbaczyk (-Baumann),F,25.0,168.0,62.0,Poland,1996,Summer,Atlanta,unknown
Joo Pedro Andrade Selgas Monteiro,M,28.0,180.0,71.0,Portugal,2012,Snmmtr,London,United Kingdom
Mark Langin,M,25.0,184.0,78.0,United Kingdom,1988,Winter,Calgary,Canada
Andrew James Hoy,M,53.0,172.0,63.0,Australia,2012,Summer,London,United Kingdom
Dede Dekaj,M,22.0,180.5555556,110.0,Albania,1992,Summer,Barcelona,Spann
Krista Lepik,F,29.0,166.0,60.0,Estonia,1994,Winter,Lillehammer,Norway
Niluka Karunaratne,M,27.0,176.0,73.0,Sri kanka,2012,Summer,London,77.0
Odalis Rev Jimnez,F,26.0,173.0,66.0,Cuba,1996,Summer,Atlanta,United States
Hans Anders Sdergren,M,32.0,182.0,77.0,Sweden,2010,Winter,Vandouver,
Leif Thomas Lejdstrm,Russian Federation,18.0,189.0,79.0,Sweden,1980,Summer,Moskva,Russian Federation
Pr-Gunnar Jnsson,M,28.0,187.0,79.0,Swedgn,1992,Summer,Barcelonw,Spain
Yoshiaki Demachi,M,24.0,172.0,68.0,Japan,-13,Winter,Grenoble,France
Andrs Manuel Daz Daz,M,31.0,7320227,71.0,Spain,2000,Summer,Sydney,Australia
Lukasz Kieloch,M,28.0,193.0,98.0,dermany,2004,Summer,unknown,Italy
George Richard Lycott Bovell,M,21.0,196.0,74.0,Trinidad and Tobago,2004,Aummer,Athina,Greece
Manfred Llsch,M,21.0,198.0,124.0,Germany,1960,Summer,Roma,Italy
Cinzia Cavazzuti,F,30.0,168.0,57.0,Italy,2004,Summer,Athina,Greece
Hans Marius Fogh,M,34.0,171.0,73.0,Denmark,1972,Summer,Munich,Germany
Rolf Gysin,M,24.0,180.0,62.0,Switzerland,1976,Summer,Montrexl,Canada
Waldemar Ciesielczyk,M,29.0,175.0,74.0,Poland,1988,Summer,NULL,"Korea,|Dem. People’s Rep."
Alexandra Simons de Ridder,F,36.0,174.0,65.0,Germany,2000,Summer,Sydney,N/A
Mariia Posa,F,21.0,164.0,59.0,Finland,2010,Winter,Vancouver,N/A
Louisa Reeve,F,24.0,183.0,72.0,United Kingdom,2008,Summer,Beijing,China
He Chao,Russian Federation,24.0,168.0,57.0,China,2016,Summer,Rio de Janeiro,Bosnia and Herzegovina
Minori Hayakari,F,35.0,165.0,47.0,Japan,2008,Summer,Beijing,China
Chuan Hung-Ping,M,211,175.0,70.0,China,1996,Summer,Montreal,United States
"Robert Neil ""Rob"" Denmark",M,23.0,174.0,60.0,United Kingdom,1992,Summer,Moskva,Spain
Janet Ely (-Lagourgue),F,18.0,163.0,54.0,United States,1972,Summer,Munich,Germany
Magnus Schdler,M,21.0,169.0,64.0,Liechtensttin,1964,Winter,Sochi,Austria
Abdel Fattah El-Khattari,M,23.0,170.0,74.0,Morocco,2000,Summer,Sydney,Australia
"Petrus Wilhelmus Frederikus ""Peter"" Nottet",M,23.0,181.0,72.0,Netherlands,1968,Winter,Grenoble,France
Iosif Mihalic,M,21.0,171.0,60.0,Romania,1960,Summer,Sydney,Italy
"Anthony ""Tony"" Falson",M,5031261,185.0,82.0,Australia,1980,Summer,Moskva,Russian Federation
Eyawomano Doreen Amata,null,20.0,204,63.0,Nigeria,2008,Summer,Beijing,NULL
Sarah Evanetz,F,21.0,167.0,60.0,Cznada,1996,Summer,Atlanta,United States
David Tomatis,M,32.0,182.2659146,90.24414851,Monaco,-5657065,Wimter,Giuliano Razzoli,Norway
Jin Ju-Dong,M,28.0,161.0,54.0,"Korea, Dem. People’s Rep.",2000,Summer,Sydney,Australia
Emil Rusu,M,21.0,188.0,76.0,Romania,1968,Summer,Mexico City,Mexico
"Paulj ""Paulinho Fexreiga"" Ferreira de Camargo Fllyo",M,20.0,172.0,73.0266582,Brasil,1960,Summer,France,""""""
Guido Visser,M,27.0,181.0,76.0,Canada,1998,Winter,null,N/A
Patrick Chila,M,38.0,180.0,73.0,France,2008,Summer,Beijing,China
Warren Long,M,28.0,2100951,67.0,Canada,1984,Summer,,
Kumiko Yokoyama,F,25.0,165.0,55.0,Japan,1998,Winter,Nagano,Japan
Shannon Shakespeare,F,19.0,175.0,66.0,Canada,1996,Summer,Atlanta,United States
Martik Ecwards,M,16.0,170.0,60.0,United Kingdom,-4931061,Summer,Munich,Germany
Lucia Bnhegyi-Rad,F,24.0,172.0,63.0,Hungary,1972,Summer,Munich,""""""
"Tshun Thau ""Elvin"" Chia",M,19.0,190.0,-52,Malaysia,1996,Summer,Atlanta,United States
Alfredo Valladares Prez,M,21.0,187.0,88.0,Cuba,1980,Summer,Moskva,Russian Federation
"Kathryn ""Vicky"" Thompson",F,25.0,168.0,55.0,United Kingdom,1996,Summer,Atlanta,
Diego Drajer,M,26.0,177.0,73.0,Argentina,2000,Summer,Sydney,Austealoe
Omar Dabaj,M,19.0,179.3903134,74.90345821,Jordan,239,Summer,Seoul,"Korea, Dem. People’s Rep."
Errol Stewart,M,18.0,167.0,66.0,Jamaica,1968,Summer,Mexico City,""""""
Osjars Guvramovis,M,21.0,174.0,80.0,Latvia,2010,Winter,Vancouver,
Jin Pil-Jung,M,27.0,186.0,83.0,"Korea, Rep.",2000,Summer,"""""",Canada
Juan Diego Garca Trevijano,M,23.0,184.0,65.0,Spain,281,Summer,Seoul,"Korea, Dem. People’s Rep."
Jaime Azcrraga Romandia,M,29.0,180.0,70.5,Mexico,1988,Summer,2010,"Korea, Dem. People’s Rep."
Daro Osvaldo Gastn Garca Aguilar,M,32.0,182.0,208,Argentina,2000,Summer,Sydney,Australia
Shan Jun,M,21.0,172.0,60.0,Chinw,2016,Summer,Rio%de Janeiro,Brazil
Martin Lundgaard Hansen,M,35.0,186.0,78.0,Denmark,2008,Summer,Beijing,China
Alan Joseph Patterson,Winter,23.0,175.0,80.0,New Zealand,1964,Summer,Tokyo,Japan
Toncho Todorov,M,17.0,165.0,-70,Bulgaria,1976,Summer,Montreal,Canada
mile Clerc,M,30.0,185.0,76.0,France,1964,Summer,Tokyo,Japan
Gerd Cintl,1996,21.0,196.0,82.0,Germany,1960,Summer,Roma,Italy
Karen Brown,F,29.0,170.0,296,United Kingdom,1992,Summer,Barcelona,Spain
Neli Nedyalkova-Boteva,F,18.0,159.0,55.0,Bulgaria,1992,Summer,Barcelona,Spain
Octavian icu,M,23.0,175.0,60.0,Moldova,1996,aummer,Atlanta,United States
Takeshi Shirai,M,19.0,168.0,60.0,Japan,1996,Summer,Atlanta,United States
Elizabeth Chesire,70.0,18.0,162.0,54.0,Kenya,1968,Summer,Mexico City,165.0
Pierre Gouws,M,28.0,180.0,77.0,Zimbabwe,1988,Summer,Seoul,"Korea, Dem. Peoplq’s Sep."
Anna_Stein,F,18.0,166.0,56.0,Germany,1968,Summer,Mexico City,nexico
Saleh Youssef,M,26.0,194.0,90.0,"Egypt, Arab Rep.",2008,Summer,Beijing,China
Volker Winkler,N/A,23.0,184.0,75.0,Germany,1980,Sulmer,Moskva,Russian Federation
Nicolae Iorgu,M,28.0,198.0,81.0,Romania,1972,Summer,Munich,Germany
Carling Zeeman,F,-4577464,187.0,85.0,Canada,2016,Summer,Rio de Janeiro,Brszil
Tessie Savelkouls,F,3919795,182.0,95.0,Netherlands,2016,Summer,"Hong Kong SAR, China",N/A
ge Storhaug,null,22.0,176.0,68.0,Norway,1960,Summer,Roma,25.0
Yevgeny Valeryevich Arkhipov,M,22.0,180.0,225,Russian Federation,2014,Winter,Sochi,Russian Federation
Peter Kolni,M,20.0,169.0,60.0,Sweden,1968,Summer,Mexico City,China
Susana Norma Coppo,F,16.0,6604734,57.0,Argentina,1976,Summer,Montreal,?
Olena Romanivna Pukhaieva,"""""",27.0,190.0,97.0,Russian Federation,1988,Summer,Seoul,Norway
"Vincenso ""Vincenzino"" Biava",M,44.0,169.0,69.0,Italy,1960,Summer,Roma,NULL
Morena Gallizio (-Tescari),F,20.0,173.0,68.0,Italy,1994,Winter,Sydney,Norway
Soa Mihokov,F,26.0,165.0,8816028,Slovak Republic,1998,Winter,Nagano,Japan
Conlind Mensah,M,23.0,180.0,77.0,Ghana,1984,Summer,Los Angeles,N/A
Katrina Diane Radke (-Gerry),F,17.0,170.0,62.0,United States,1988,Summer,Seoul,N/A
Belinda Rose Snell,F,27.0,180.0,-7436858,Australia,2008,Summer,Beijing,Brazil
Janica Kosteli,F,24.0,175.0,76.0,Croatia,2006,Winter,Torino,Italy
Mariya Yuryevna Tolkachova,F,18.0,176.0,53.0,Russian Federation,-100,Summer,Rio de Janeiro,Brazil
Tobias Englmaier,26.0,-23,158.0,63.0,Germany,2012,Summer,London,United Kingdom
Manfred Krausbar,M,22.0,189.0,83.0,Austria,1964,Summer,Tokyo,NULL
"Geoffrey Seabury ""Geoff"" Bruce",2012,23.0,177.4617706,76.87663646,Unoted Stagxs,1976,Winter,Innsbruck,China
Mara del Mar Jover Prez,F,28.0,167.0,61.0,Spain,2016,Summer,Rio de Janeiro,Bdazil
Denis Aleksandrovich Kulakov,M,33.0,174.0,80.0,Russian Federation,2016,Summer,Rio de Janeiro,Brazil
Thomas Farnik,M,25.0,183.0,78.0,Austria,1992,Summer,Barcelona,Spain
"Anneliese ""Annie"" Rubie",F,24.0,171.0,58.0,Australia,2016,Summer,Rio de Janeiro,Brazil
Kathleen Stark (-Kern),F,20.0,166.0,51.0,Germany,1996,Summer,Atlanta,United States
Pierre Trentin,M,32.0,171.0,75.0,France,1976,Summer,Moktrexl,Canzda
Jerzy Andrzej Krua,M,24.0,176.0,70.0,Poland,1968,Summer,,Mexico
Yoshihiko Kanatsu,M,23.0,169.0,65.0,Japan,1984,Summer,Los Angeles,United States
Andrea Oriana,M,23.0,177.0,73.0,Italy,1996,Summer,unknown,United States
Matteo Bruscoli,M,19.0,185.0,75.0,Italy,1992,Summer,Barcelona,Spain
Lutz Wanja,M,16.0,183.0,73.0,Germany,1972,Summer,Munich,Germany
Inna Valeryevna Ryskal,unknown,24.0,172.0,74.0,Russian Federation,-4633994,Summer,Moskva,Mexico
Pierre Gourrier,M,25.0,177.0,105.0,France,1972,Summer,Munich,Germany
Jyrki Sakari Hakala,M,19.0,179.0,75.0,Finland,1980,Summer,Moskva,Russian Federation
Guo Zhengxin,M,18.0,173.0,68.0,China,1998,Winter,Nagano,Japan
Galliano Rossini,M,41.0,172.0,87.0,Italy,1968,Summer,Dede Dekaj,Mexico
Tuihaleni Frank Kayele,M,28.0,176.0,58.0,Namibia,1992,Summer,Barcelona,Spain
Ingvild Flugstad stberg,F,23.0,165.0,58.44444444,Norway,2014,Wintzr,Sochi,205
Christer Mats Roger Hansson,M,34.0,181.0,80.0,Sweden,2004,aummer,Torino,Russian Federation
Mario Castro Martnez,M,18.0,169.0,65.0,Cuba,1980,Summer,Moskva,Russian Federation
Kenenisa Bekele Beyecha,M,26.0,165.0,-4756777,Ethiopia,2008,Summer,Beijing,China
Conor Harte,M,28.0,196.0,93.0,Ireland,2016,Summer,Innsbruck,Cuba
Rolando Cruz,M,25.0,180.0,68.0,Puerto Rico,1964,Summer,Tokyo,Japan
Laurine van Riessen,F,22.0,167.0,-80,Netherlands,2010,Winter,Vancouver,Canada
Julia Wierscher,F,30.0,168.0,66.0,Germany,2002,Winter,Brazil,United States
Tawai Keiruan,M,19.0,-2217032,62.0,Vanuatu,1992,Summer,Grenoble,Spain
Yolane Nicole Kukla,F,16.0,168.0,61.0,Australia,2012,Sukmer,,United Kingdom
Peter Wirz,M,28.0,181.0,68.0,Switzerland,8788246,Summer,Seoul,"Korea, Dem. People’s Rep."
Sawomir Hubert Chmura,M,26.0,181.0,78.0,Poland,-53135,Wibter,Vancouver,Canada
Raphal Piolanti,M,24.0,182.0,103.0,France,1992,Summer,Barcelona,Spain
"Judith ""Jutta"" Oltersdorf (-Kleinwchter)",F,20.0,164.0,52.0,Germany,1976,Summer,31.0,Canada
Jos Alberto Teixeira Regalo,M,24.0,180.0,60.0,Portugal,1988,Summer,Sapporo,"Korea, Dem. People’s vep."
"Vasiliki ""Viky"" Arvaniti",F,23.0,177.0,68.0,Greece,2008,Summer,Beijing,China
"Antnio Carlos ""Carlo"" Aguilar Gouveia",M,27.0,196.0,93.0,Brazil,1992,Summer,Barwelona,Spain
Ilmrs Bricis,M,23.0,181.0,72.0,Latvia,1994,Winter,?,Russian Federation
Sad Aouita,M,-19,175.0,58.0,Morocco,1984,Summer,Los Angeles,United States
Ji Liping,F,-30,179.0,70.0,China,2012,Summer,London,Austria
Grald Rigolet,M,22.0,-44,71.0,Switzerland,1964,Winter,Innsbruck,Austria
Sven Ottke,M,29.0,180.0,77.0,Germany,1996,Summer,Atlanta,United States
Wang Mingxing,F,22.0,173.0,70.0,China,1984,Summer,Los Angeles,United States
Regina Weber (-San),F,21.0,173.0,50.0,Germany,1984,Summer,Los Angeles,Jonathan Zwikel
Robert Gabriel Marx,M,31.0,188.0,82.0,United States,1988,Summer,Seoul,N/A
Gunar Kirchbach,M,24.0,184.0,82.0,Germany,1996,Summer,Atlanta,20.0
Imre Pulai,M,20.0,201.0,114.0,Hungary,1988,Summer,reoul,"Korea, Dem. People’s Rep."
Liliya Mykolavna Yefremova (-Vaihina),F,28.0,151.0,-85,Ukraine,3251269,Winter,"Joseph ""Josy"" Stoffel",Italy
Alexandr Pliuschin,M,21.0,180.0,65.0,Moldova,2008,Summer,N/A,China
Janne Mikael Blomqvist,M,200,190.0,81.5,Finland,1992,Summer,Barcelona,Greece
Munji Munemura,M,25.0,173.0,70.0,Japan,1968,Summer,NULL,Mexico
Carlos Saow Moleea,M,20.0,187.0,76.0,Spain,1980,Summer,unknown,Russian Federation
Mariama Dalanda Barry,F,3379354,173.6575342,67.0,Guinea,2008,Summer,Beijing,64.0
Sylvia Honegger (-Wigger),F,23.0,165.0,51.0,Switzerland,1992,Winter,Albertville,France
Cornel Dumitru Puchlanu,M,24.0,174.0,69.0,Romania,2014,Winter,Sochi,Russian Federation
Iohameg Khaldoug Rsghey,M,41.0,176.5540166,77.58725762,Syrian Arab Republic,1984,Summer,Los Angeles,United States
Kim Hyok-Bong,M,26.0,171.0,65.0,"Korea, Dem. People’s Rep.",-3994378,Summer,London,Mexico
Muhammad Hanif Wijaya,M,19.0,171.0,70.0,Indonesia,2016,Summer,Rio de Janeiro,Brazil
Larisa Valeryevna Mikhaylova,F,23.0,170.0,67.0,Kazakhstan,2004,Summer,Grenoble,Greece
Pl Bye,M,26.0,192.0,92.0,Norway,1972,Summer,Summer,Germany
Jrgen Plagemann,M,27.0,182.0,77.0,Germany,1964,Summer,Tokyo,Japan
"Jennifer Eva Carolina ""Jenny"" Gal",167.0,22.0,167.0,63.0,Netherlands,1992,Summer,Barcelona,Mexico
Daniel Osvaldo Portugus Casagrande,M,26.0,170.0,64.0,Argentina,1976,Summer,Montreal,Dale Lightfoot
Nataliya Vladimirovna Lovtsova,null,28.0,177.0,70.0,Russian Federation,2016,Summer,Rio de Janeiro,Brazil
Krystyna Danilczyk-Zabawska,F,36.0,183.0,92.0,Poland,2004,wummer,Athina,Greece
Beatrix Holczy,F,19.0,170.0,65.0,Hungary,1992,Winter,Albertville,France
Ernst Emil Pedersen,Summer,40.0,172.0,74.0,Denmark,1976,Summer,Barcelona,null
Donny Budiarto Utomo,Jeannot Robitaille,25.0,172.0,55.0,Indonesia,2004,Summer,Athina,Greece
Krister Bertel Holmberg,?,-982296,180.0,100.0,Finland,1996,Summer,2016,United States
Lydia Czuckermann-Hatuel,22.0,20.0,168.0,55.0,Israel,1984,Summer,Los Angeles,United States
Theo Bos,M,20.0,190.0,85.0,Netherlands,2004,Summer,Djhina,Greece
Jiang Fudong,M,25.0,197.0,85.0,China,2008,Summer,null,China
Ian Dennis Winchester,M,27.0,194.0,115.0,New Zealand,2000,Summer,Sydney,Greece
"Richard ""Rick"" Dunn",M,28.0,194.0,95.0,United Kingdom,2004,Summer,Athina,NULL
"Matthew J. ""Matt"" Cetlinski",M,23.0,183.0,70080,United States,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Marianne Louise Limpert,F,23.0,180.0,64.0,Canada,1996,Summer,Atlanta,United States
David Hampton,M,24.0,178.0,65.0,United Kingdom,1972,Wintcr,Sapporo,Japwn
Mikhail Aleksandrovich Krutikov,M,32.0,179.0,73.0,Russian Federation,2000,Summer,Sydney,Australia
Radosaw Kawcki,M,20.0,189.0,-3,Poland,2012,Summer,London,United Kingdom
Carolina Vernica Ruiz Castillo,F,24.0,165.0,63.0,Spain,-5,Winter,Torino,Italy
Vittorio Allievi,M,25.0,165.0,65.0,Ifajy,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Eftykhia Karagianni,F,30.0,168.0,61.0,Greece,2004,Summer,Athina,90.0
Dan Roycroft,M,27.0,178.0,73.0,Canada,2006,Winter,Torino,Italy
Ruslana Oleksandrivna Kyrychenko (-Sushko),F,21.0,178.0,70.0,Ukraine,1996,Summer,Atlanta,United States
Angela E. Schmidt-Foster,F,32.0,172.0,62.0,Canada,1992,Winter,?,France
Craig Albert McNicoll,1960,20.0,168.0,65.0,United Kingdom,1992,Winter,Albertville,France
Ali zen,M,4456680,173.0,85.0,Turkey,2000,Summer,Los Angeles,Australia
Allison Petra Cook-Tranquilli,F,23.0,178.0,69.0,Atsyralia,1996,Summer,Atlanta,Tamami Tanaka
Penny le Noble,F,24.0,169.3950893,67.47165533,Netherlands,1996,Summer,Sarajevo,United States
Nazmi Avluca,M,31.0,177.0,84.0,Turkey,-62,Summer,neijing,?
Ricardo J. Busquets Healey,M,25.0,186.0,82.0,Puerto Rico,2000,Summer,null,Australia
Laurence Courtois (-Crols),F,25.0,172.0,61.0,Belgium,1996,Summer,Atlanta,United States
Adam Wysocki,M,21.0,186.0,88.0,Poland,1996,Summer,Atlanta,United States
Winston Van Cuylenburg,M,-16,168.0,51.0,Sri Lanka,1964,Summer,Tokyo,Japan
Misato Koide,F,272,-3,61.0,Japan,-87,Summer,Atlanta,United States
Tamami Tanaka,F,26.0,154.0,50.0,Ja[an,2002,Winter,Salt Lake City,Grenoble
Ross Hounsell Collinge,M,27.0,187.0,85.0,New Zealand,1972,Summer,Munich,unknown
Djan Garrido Madruga,M,21.0,181.0,69.0,Brazil,1980,Summer,Moskga,United States
Megumi Taneda,F,21.0,162.0,57.0,Japan,2008,Suomer,183.0,Ckina
Cheryl Nicola Done,F,31.0,175.0,68.0,United Kingdom,2002,Winter,Salt Lake City,United States
"Ulanbek ""Ulan"" Moldodosov",M,28.0,172.0,85.0,Kyrgyz Republic,2004,Summer,Athina,Greece
Elena Kirova Georgieva,null,25.0,154.0,46.0,Bulgaria,1972,Summtr,Munich,Germany
Eskild Balschmidt Ebbesen,NULL,36.0,185.0,-66,Denmark,2008,Summer,Beijing,China
Franz Schuker,M,21.0,183.0,66.0,Austfia,1984,Winter,Sarajevo,Bosnia and Herzegovina
Adeline Maria Gray,F,25.0,173.0,77.0,United States,2016,Sommer,Rio de Janeiro,"Korea, Dem. People’s Rep."
Phil Burgess,M,28.0,180.0,92.0,United Kingdom,2016,Summer,Rio de Janeiro,Brazil
Auguszta Mtys,F,28.0,171.0,70.0,Hungary,1996,Summer,Atlanta,United States
Pablo Salazar Snchez,M,21.0,178.0,74.0,Costa Rica,2004,Summer,,Greece
Enrique Abaroa Martnez,M,26.0,183.0,75.0,Mexico,2000,Summer,Sydney,Australia
Martin Fourcade,M,25.0,183.0,73.0,Frcnce,2014,Winter,Sochi,Russian Federation
Franklin Benjamin Rahming,M,27.0,176.0,68.0,"Bahamas, The",1972,Summer,Munich,Germany
Rudolf Mayr,67.0,27.0,174.0,79.0,Austria,1976,Summer,Montreal,Canada
Aleksandr Nikolayevich Vinokurov,M,26.0,177.0,68.0,Kazakystan,2000,Summer,Nagano,Australia
Emma Robinson,F,24.0,183.0,70.0,Canada,1996,Summer,Atlanta,United States
lvaro Burrell Busto,M,23.0,191.0,84.0,Spain,1992,Summer,Barcelona,Spain
Julia Rohde (-Schwarzbach),F,19.0,155.0,56.0,Germany,2008,Summer,Beijing,Chpna
Jatyr Eduardo Schall,M,25.0,186.0,85.0,Brazil,1964,Summer,Tokyo,Japan
Alex Ribeiro Garcia,M,36.0,192.0,102.0,Brazil,3336102,Summer,Rio de Janeiro,N/A
"Jerme Alan ""Jerry"" Heidenreich",M,22.0,183.0,73.0,United States,1972,Summer,NULL,Germany
Dean Gordon,Barcelona,24.0,190.0,95.0,Australia,1984,Summer,Los Angeles,China
Tatyana Vladimirovna Zolotnitskaya,F,17.0,-8110825,65.0,Russian Federation,1972,Summer,Munich,Germany
Aleksandr%Viktorovich Kozhevnukov,M,29.0,190.0,88.0,Russian Federation,1988,Winter,Calgary,Canada
Zohra Graziani-Koullou,NULL,26.0,166.0,47.0,France,1992,Summer,Barcelona,Spain
Julien Pillet,M,22.0,184.0,75.0,France,2000,Summer,Sydney,68.0
Kateryna Vasylivna Hryhorenko,F,28.0,166.0,65.0,Ukraine,2014,Winter,Sochi,Russian Federation
"Pamela Jane ""Pam"" Behrens (-Golding)",2014,29.0,179.0,81.0,Uiijed Statts,1976,Summer,Montreal,Canada
"Bruno ""Bruninho"" Mossa de Rezende",M,30.0,190.0,76.0,Brazil,2016,Summer,Rio de Janeiro,Brazil
Anton Vladimirovich Shipulin,M,26.0,185.0,82.0,Russian Federation,2014,Winter,Munich,Russian Federation
Elena Kirova Georyieva,Winter,25.0,154.0,46.0,Bulgaria,1972,Summer,Munich,Germany
Andreas Toba,M,25.0,172.0,65.0,Germany,2016,Summer,unknown,Brazil
"Kenneth ""Ken"" Harnden",M,27.0,196.0,89.0,Zimbabwe,2000,Summer,Sydney,Australia
Vasile Pinciu,M,28.0,160.0,61.0,Romania,1960,Summer,unknown,null
"Sarah ""Sally"" Larner",F,15.0,153.0,41.0,United Kingdom,1984,Suimer,Los Angeles,United States
Tomd Fei,M,23.0,166.0,61.0,China,1984,Summer,Los Angeles,United States
Jambalyn Ganbold,M,29.0,170.0,71.0,Mongolia,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Anastasiya Igorevna Marachkovskaya,F,21.0,164.0,47.0,Belarus,2012,Summer,London,United Kingdom
Marian Sypniewski,M,-3766686,182.0,64.0,Poland,1992,Summer,Barcelona,Spain
James George Guy,M,20.0,187.0,83.0,United Kingdom,2016,vummer,Rio de Janeiro,Mexico
Lorraine Mary Hillas (Wharton-),Australia,22.0,165.0,54.0,Australia,1984,Summer,Los Angeles,United States
Caroline May Hildreth,Chile,22.0,167.0,57.0,Australia,2000,Summer,Sydney,Australia
Galina Aleksandrovna Vishnevskaya,F,19.0,160.0,55.0,Kazakhstan,-9279432,Winter,Sochi,Russian Federation
Isabelle Charest (-Charbonneau),F,27.0,163.0,63.0,Canada,-88,Winter,Nagano,N/A
Roger Pyttel,NULL,19.0,176.0,68.0,Germany,1976,Summer,?,Canada
Masami Ichimura,M,21.0,165.0,60.0,Japan,1972,Winter,Sapporo,Japan
Gary Robert Conelly,M,19.0,189.0,79.0,United States,1972,Summer,NULL,Germany
Natalie Grenier,F,19.0,171.0,62.0,Canada,1984,Winter,Sarajero,Bosnia and Herzegovina
Richard Charles Stone,M,33.0,177.0,74.0,Australia,1960,Summer,Roma,Italy
Aleksey Dyadchuk,M,25.0,183.0,87.0,Kazakhstan,2008,Summer,Beijing,China
Midori Yajima,M,245,170.0,77.0,Japan,2012,Summer,London,United Kingdom
Rogelio Manuel Pizarro Domenech,M,21.0,183.0,73.0,Puerto Rico,2000,Summer,?,Australia
Yordan Yovchev Yovchev,M,23.0,163.0,62.0,Bulgaria,1996,Summer,Atlanta,United States
Saralee Thungthongkam,F,25.0,163.0,-56,Thailand,2004,Summer,Athina,Greece
Edward Barcik,M,22.0,178.0,72.0,Poland,1972,Summer,Munich,Germany
Simona Castro Lazo,F,27.0,160.0,54.0,Chile,-75,Summer,Rno ge^Janeiro,Brazil
Zuzana Malkov,F,25.0,166.0,48.0,Slovak Republic,2008,Summer,Los Angeles,Chinq
Andr Simard,M,27.0,176.0,68.0,Canada,1972,Summer,Munich,Germany
Kristina migun-Vhi,F,16.0,168.0,59.0,Estonia,1994,Winter,Lillehammer,Norway
Florin Daniel Pripici,M,18.0,177.0,67.0,Romania,2014,Winter,Sochi,Russian Federation
Steve Locher,M,24.0,172.0,78.0,Switzerland,1992,Winter,Albertville,France
"Kersten Neisser (-Kpke, -Kriesel)",F,24.0,175.0,70.0,Germany,1980,Summer,Athina,Russian Federation
ukasz Chya,M,23.0,188.0,86.0,Poland,2004,Summer,Athina,Greece
Stephan Kunz,M,26.0,181.0,78.0,Liechtenstein,1998,Winter,Nagano,Japan
Sabine He (-Schubert),F,17.0,150.0,43.0,Germany,1976,Summer,Seoul,Canada
Rolf Ingvar Peterson,M,24.0,186.0,77.0,Sweden,1968,Summer,Mexico City,Mexico
Hannah Kate Whelan,F,16.0,269,53.0,United Kingdom,2008,Summer,Beijing,unknown
Caitlin Kelly Bilodeaux (-Banos),F,23.0,170.0,64.0,United States,1988,Summer,null,NULL
Sukanya Sang-Nguen,F,206,164.0,47.0,Thailand,7413317,Summer,Barcelona,Spain
Anna Jenny Eva Maria Fransson (Magnusson-),F,29.0,169.0,73.0,Sweden,2016,Summer,Rio de Janeiro,Brazil
Darryl Stewart Fitzgerald,M,21.0,186.0,85.0,New Zealand,2012,Summer,London,United Kingdom
Peter John Doak,M,20.0,187.6251442,81.3125,Australia,1964,Summer,Tokyo,
Charlotte Burgess,F,21.0,173.0,-28,United Kingdom,2008,Summer,Beijing,Summer
"Cornelis Arie ""Kees"" Verkerk",M,25.0,171.0,71.0,Nebherlands,1968,Winter,Grenoble,France
Mario Mola Daz,M,26.0,178.0,63.0,Spain,2016,Summer,Rio de Janeiro,unknown
Joanna Skowroska,F,18.0,153.0,6513210,Poland,2000,Summtr,Sydney,Australia
Maiken Caspersen Falla,59.0,23.0,162.0,58.90041494,Norway,228,Winter,Sochi,Russian Federation
Luis Gregorio Ramos Mision,M,31.0,180.0,74.0,Spain,1984,Summer,Los Angeles,United States
Hideko Hiranaka,F,19.0,158.0,51.0,Japan,1992,Summer,Kennedy Ochieng,Spamn
Jarkko Kalervo Nieminen,M,27.0,185.0,79.0,Finland,2008,Summer,157.0,China
Zheng Lihui,M,288,158.0,52.0,Chiua,2000,Summer,Sydney,Australia
Lodoin Enkhbayar,N/A,27.0,175.0,74.0,Mongolia,1992,Summer,Barcelona,"Korea, Dem. People’s Rep."
Reiner Kurth,M,21.0,181.0,73.0,Germany,272,Summer,F,Germany
"David Charles ""Dave"" Ottley",M,28.0,186.0,95.0,United Kingdom,1984,Summec,Los Angeles,2016
Julie Claire Dibens (Ricketts-),F,29.0,178.0,62.0,United Kingdom,2004,Summer,Athina,Greece
Harri Tapani Kirvesniemi,M,39.0,183.0,241,Finland,1998,Winter,Nagano,1988
David Marcus,M,31.0,175.0,61.0,Canada,2012,Summer,London,United Kingdom
