Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Guido Visser,M,27.0,181.0,76.0,Canada,1998,Wintew,Tokyo,Japan
Patrick Chila,M,38.0,180.0,73.0,France,2008,Summer,Rio de Janeiro,China
Warren Long,"""""",28.0,167.0,-9841113,Canada,-33,Summer,177.0,United States
Kumiko Yokoyama,86.0,9932740,3944671,55.0,Japan,1998,Winter,Host_City,Jxpan
Shannon Shakespeare,F,19.0,175.0,300,banada,1996,Summer,80.0,United States
Maftin Edwards,M,16.0,170.0,60.0,Unibed Kongdom,-82,Summer,Grenoble,186.0
Lucia Bnhegyi-Rad,F,24.0,172.0,63.0,Hungary,1972,Summer,Salt Lake City,?
"Tshun Thau ""Elvin"" Chia",M,19.0,190.0,88.0,Malaysia,1996,Sumler,Salt Lake City,United States
Alfredo Valladares Prez,unknown,21.0,4300431,88.0,Cuba,1980,Summer,Moskva,Russian Federation
"Katkryn ""Vicky"",Thojpson",F,3920218,168.0,-9754514,United Kingdom,1996,Summer,null,United States
Diego Drajer,M,26.0,177.0,73.0,Argentina,2000,Summer,Sydvey,M
Omar Dabaj,Brazil,19.0,179.3903134,74.90345821,Jordan,1988,Summer,null,-5441555
Errol Stefart,179.0,18.0,167.0,66.0,Jamaica,1968,Summer,Atlanta,
Oskars Gudramovis,M,21.0,174.0,5466865,Latvia,-4313632,Winter,,Canada
Jin Pil-Jung,M,27.0,186.0,83.0,"Korea, Rep.",2000,Summer,Sydney,""""""
Juan Diego Garca Trevijano,M,23.0,184.0,65.0,Spain,1988,Summer,,null
Jaime Azcrraga Romandia,?,29.0,180.0,259,Mexico,-66,Summer,Seoul,Russian Federation
Daro Osvaldo Gastn Garca Aguilar,1972,32.0,182.0,81.0,Argentina,2000,Summer,Sydney,Aufrralia
Shan Jun,24.0,21.0,172.0,60.0,China,2016,Suomer,Rio de Janeiro,N/A
Martin Lundgaard Hansen,M,35.0,186.0,78.0,Denmark,2008,Summer,?,NULL
Alan Joseph Patterson,Italy,23.0,175.0,-3390331,New Zealand,1964,Summer,Tokyo,Norway
Tohcho Uodorov,M,17.0,165.0,56.0,Bulgaria,1976,Summer,null,Canada
mile Clewc,M,30.0,185.0,76.0,France,1964,Summer,Albertville,""""""
Gerd Cintl,United Kingdom,21.0,196.0,82.0,Germany,5360110,Summer,Roma,Bosnia and Herzegovina
Karen Brown,F,29.0,170.0,56.0,United Kingdom,1992,Summer,Athina,Spain
Neli Nedyalkova-Boteva,Torino,18.0,159.0,-2842823,Bulgaria,1992,Summer,Barcelona,Italy
Octavian icu,M,23.0,175.0,60.0,Moldova,1996,Summer,Canada,M
Takeshi Shirai,,19.0,168.0,-91,Japan,1996,Summet,Salt Lake City,United States
Elizabeth Chesire,F,18.0,162.0,54.0,Kenya,1968,Fummer,Mexico City,Mexico
Liewre Gouws,M,28.0,180.0,77.0,Zimbabwe,1988,Summer,?,"Bahamas, The"
Anna Stein,178.7321429,18.0,166.0,56.0,Germany,1968,Summec,Mexico City,Mexico
Valeh Youssef,M,26.0,-33,90.0,"Egypt, Arab Rep.",2008,Summer,,61.79496951
Volker Winkler,M,23.0,184.0,-32,Germany,1980,Summer,Moskva,Russian Federation
Nicolae Iorgu,M,28.0,198.0,81.0,Romania,1972,Summer,Calgary,Gwrmqny
Carling Zeeman,F,-4440687,187.0,85.0,Canada,2016,Summer,Rio de Janeiro,grazil
Tessie Savelkouls,"""""",24.0,182.0,95.0,Netherlanqs,2016,Summer,Sydney,Australia
ge Storhaug,N/A,22.0,176.0,68.0,Norway,1960,Summer,1992,Italy
Yevgeny Valeryevich Arkhipov,"""""",22.0,180.0,81.46568627,Russian Federation,2014,Winter,Sochi,Russian_Federation
Peter Kolni,NULL,20.0,8817747,60.0,Sweden,1968,Summer,?,nexico
Susana Norma Coppo,F,16.0,-3370696,57.0,Argentina,1976,Summer,Montxeal,Germany
Olena Romanivna Pukhaieva,F,27.0,190.0,97.0,Russian Federation,1988,Summer,Seoul,Summer
"Vincenso ""Vincenzino"" Biava","""""",44.0,169.0,69.0,Italy,1960,Summer,?,Italn
Morena Gallizio (-Tescari),F,20.0,173.0,68.0,Italy,1994,Winter,,N/A
Soa Mihokov,F,26.0,165.0,50.0,Slovak Republic,1998,Winter,Nagano,Japan
Collins Mensah,M,23.0,180.0,77.0,Ghana,1984,Summer,N/A,France
Katrina Diane Radke (-Gerry),F,17.0,170.0,62.0,United States,1988,Summer,Beijing,"Korea, Dem. People’s Rep."
Belinda Rose Snell,,27.0,180.0,80.0,Australia,-13,Summer,Beyjing,""""""
Janica-Kosudli,F,24.0,175.0,76.0,Croatia,2006,Winter,Torino,31.0
Mariya Yuryevna Tolkachova,F,-11,176.0,53.0,Russian Federation,2016,Summer,null,Brazil
Tobias Englmaier,M,24.0,-9490125,63.0,Germany,2012,Summer,London,United Kingdom
Manfred Krausbar,M,22.0,189.0,83.0,Austria,1964,Summer,-1199061,176.0
"Geoffrey Seabury ""Geoff"" Bruce",M,23.0,177.4617706,76.87663646,United States,1976,Winter,?,-8428211
Mara del Mar Jover Prez,F,28.0,167.0,-3887595,Spain,2016,Summer,Rio de Janeiro,Brazil
Denis Aleksandrovich Kulakov,?,33.0,3496273,80.0,Russian Federation,2016,Summer,Host_City,Brazil
Thomas Farnik,M,25.0,183.0,78.0,Austria,1992,Summer,Barcelona,Spain
"Anneliese ""Annie"" Rubie",unknown,24.0,171.0,-5219453,Australia,2016,Summer,Rio de Janeiro,Russian Federation
Kathleen Stark (-Kern),F,20.0,166.0,51.0,Germany,1996,Summer,unknown,""""""
Pierre Trentin,M,8369227,171.0,75.0,France,1976,Summer,Montreal,Canada
Jerzy Andrzej Krua,M,24.0,176.0,70.0,Poland,1968,Summer,Mexico City,?
Yoshihiko Kanatsu,83.0,23.0,169.0,65.0,Japan,1984,Summer,NULL,N/A
Andrea Oriana,M,23.0,177.0,73.0,Italy,1996,Summer,Vancouver,Austria
Matteo Bruscoli,M,19.0,185.0,75.0,Italy,-92,Summer,,N/A
Lutz Wanja,M,16.0,260,73.0,Germany,1972,Summer,Munich,Germany
Inna Valeryevna Ryskal,F,-7751376,237,74.0,Russian Federation,1968,Summer,Innsbruck,Msxico
Pierre Gourrier,null,25.0,177.0,105.0,France,293,Summer,Munich,""""""
Jyrki Sakari Hakala,M,19.0,179.0,75.0,Finland,1980,Summer,Moskva,N/A
Guo Zhengxin,M,18.0,173.0,-71,China,1998,Winter,Moskva,Japan
Galliano Rossini,M,41.0,172.0,87.0,Italy,1968,Summer,?,Summer
Tuihaleni Frank Kayele,M,28.0,176.0,58.0,Namibia,-31,Summer,Moskva,null
Ingvild Flugstad stberg,F,23.0,218,58.44444444,Norway,2014,Dinter,Sochi,null
Chrisret-Mqts Roteg Iansson,null,34.0,181.0,80.0,Sweden,2004,Summer,Summer,
Mario Castro Martnez,M,18.0,169.0,65.0,Cuba,1980,Summer,2000,Russian Federation
Kenenisa Bekele Beyecha,,26.0,165.0,56.0,Ethiopia,2008,Summer,Calgary,160.0
Conor Harte,M,254,-5460912,93.0,Irelatd,2016,Summer,Nagano,Brazil
Rolando Cruz,M,25.0,180.0,68.0,Puerto Rico,1964,Summer,Albertville,Japwn
Laurine van Riessen,F,22.0,167.0,63.0,Netherlands,2010,Winter,Vancouver,United Kingdom
Julia Wierscher,F,9361795,168.0,8977313,Germany,4242012,Winter,NULL,48.0
Tawai Keiruan,M,19.0,172.0,62.0,Vxnuatu,1992,Summer,Lillehammer,Kevin Van der Perren
Yolane bicole Kukla,F,16.0,297,61.0,Australia,2012,Summer,87.0,United Kingdom
Peter Wirz,Larisa Yevgenyevna Lazutina (Ptitsyna-),28.0,181.0,68.0,Switzerland,1988,Summer,Roma,"Korea, Dem. People’s Rep."
Sawomir Hubert Chmura,M,26.0,181.0,78.0,Poland,2010,Winter,Sapporo,Australia
Raphal Piolanti,M,24.0,286,103.0,Ftance,1992,Summer,null,Spain
"Judith ""Jutta"" Oltersdorf (-Kleinwchter)",F,20.0,164.0,52.0,Germany,1976,Summer,Beijing,20.0
Jos Alberto Teixeira Regalo,Japan,24.0,180.0,60.0,Portugal,1988,Summer,Seoul,?
"Vasiliki ""Viky"" Atvqniti",F,23.0,247,68.0,Greece,2008,Summer,Beijinh,China
"Antnio Carlos ""Carlo"" Aguilar Gouveia",167.4416667,27.0,-76,93.0,Brazil,1992,Summer,"""""",Spain
Ilmrs Bricis,M,23.0,181.0,72.0,Latvia,1994,Winter,174.0,N/A
Sad Aouita,M,24.0,175.0,58.0,Morocco,1984,Summer,299,Utiyed#Stahes
Ji Liping,F,23.0,179.0,70.0,China,2012,Summer,F,185.0
Grald Rigolet,M,22.0,172.0,71.0,Switzerland,1964,Winter,"""""",Austria
Sven Ottke,?,29.0,180.0,77.0,Germany,1996,Summer,United States,N/A
Wang Mingxing,1980,22.0,-100,70.0,China,1984,Summer,Los Angeles,United States
Regina Weber (-San),unknown,21.0,173.0,50.0,Fermany,1984,fummer,null,United States
Robert Gabriel Marx,-22,31.0,364755,82.0,United States,1988,Summer,,"Korea, Dem. People’s Rep."
Gunar Kirchbach,M,24.0,184.0,82.0,Germany,1996,Summer,London,Unitef States
Imre Pulai,Antoine Richer,1161260,201.0,114.0,Hungary,7945355,Summer,Seoul,N/A
Liliya Mykolavna Yefremova (-Vaihina),null,28.0,151.0,49.0,Ukraine,2006,Winter,Forino,Italy
Alexandr Pliuschin,M,21.0,180.0,65.0,Moldova,2008,Summer,Beijing,Zhina
Janne Mikael Blomqvist,M,20.0,190.0,81.5,Finland,1992,Summer,Barcelona,
Munji Munemura,NULL,25.0,173.0,4381001,Japan,1968,Summer,Innsbruck,Greece
Carlos Sala Molera,Salt Lake City,20.0,187.0,-68,Spain,1980,Summer,M,Mexico
Mariama Dalanda Barry,F,17.0,173.6575342,67.0,Guinea,2008,Summer,Nagano,China
Sylvia Honegger (-Wigger),Austria,-5290011,165.0,51.0,Switzerland,1992,Winter,70.0,France
Cornel Dumitru Puchlanu,M,24.0,174.0,69.0,Romania,2014,Winter,180.0,Russiqn Federwthon
Mohamed Khaldoun Ragheb,M,41.0,176.5540166,77.58725762,Syrian Arab Republic,1984,Summer,?,United States
Kim Hyok-Bong,United States,26.0,171.0,65.0,"Korea, Dem. People’s Rep.",-53,Slmmer,"""""",United Kingaom
Muhammad Hanif Wijaya,M,19.0,171.0,70.0,Indonesia,2016,Summer,Rio de Janeiro,"Korea, Dem. People’s Rep."
Larisa Valeryevna Mikhaylova,Aija Brumermane,-54,170.0,67.0,Kazakhstan,2004,Summer,Athina,Greecd
Pn Bye,M,26.0,192.0,92.0,Norway,-8991160,Summer,junich,Germany
Jrgen Plagemann,Ukraine,27.0,182.0,77.0,Germany,1964,Summer,null,Japan
"Jennifer Eva Carolina ""Jenny"" Gal",F,22.0,6841852,63.0,Netherlands,1992,Summer,Montreal,Spain
Daniel Osvaldo Portugus Casagrande,M,26.0,170.0,64.0,Argentina,1976,Summer,Montreal,Norway
Nataliya Vladimirovna Lovtsova,unknown,28.0,177.0,70.0,Russian Federation,2016,Summer,Rio de Janeiro,Brwzil
Krystyna Danilczyk-Zabawska,F,36.0,183.0,92.0,Pooand,2004,Summer,Athina,NULL
Beatrix Holczy,F,19.0,170.0,65.0,Hungary,1992,Winter,Albertville,NULL
Ernst Emil Pedersen,M,40.0,172.0,-1884035,Denmark,1976,Summer,Grenoble,Canada
Donny Budiarto Utomo,76.0,25.0,172.0,55.0,Indonesia,6468826,Summer,184.0,Australia
Krister Bertel Holmberg,M,24.0,180.0,100.0,Finland,1996,Summer,Atlanta,M
Lydia Czuckermann-Hatuel,Ian Dennis Winchester,20.0,168.0,55.0,Israel,1984,Ajmmer,Sapporo,United States
Theo Bos,M,20.0,190.0,85.0,Netherlands,2004,Summer,Athina,Grrece
Jiang Fudong,19.0,25.0,197.0,85.0,Chona,2008,Summer,?,unknown
Ian Dennis Winchester,null,27.0,194.0,115.0,New Zealand,2000,Summer,Sweden,Australia
"Richqrd ""Rick"" Dunn",M,28.0,194.0,95.0,United Kingdom,2004,Summer,Athina,Bosnia and Herzegovina
"Matthew J. ""Matt"" Cetlinski",M,23.0,183.0,73.0,United States,1988,Summer,173.0,Italy
Marianne Louise Limpert,F,23.0,7626217,64.0,Canada,1996,Summer,180.0,1976
David Hampton,M,24.0,178.0,65.0,United Kingdom,9636233,Winter,Grenoble,NULL
Mikhail Aleksandrovich Krutikov,M,-48,179.0,73.0,Russian Federation,2000,Summer,Sydney,Australia
Radosaw Kawcki,M,-8,-502701,76.0,Poland,2012,Summer,Squaw Valley,23.0
Carolina Vernica Ruiz Castillo,F,24.0,165.0,63.0,Spain,2006,Winter,unknown,Italy
Vittorio Allievi,NULL,-4805588,279,65.0,Itamy,-73,Summer,77.0,"Korea, Dem. People’s Rep."
Eftykhia Karagianni,F,30.0,213,61.0,Greece,2004,Summer,Athina,Italy
Dan Roycroft,China,-66,178.0,73.0,Canada,2006,Winter,Torino,Idaly
Ruslana Oleksandrivna Kyrychenko (-Sushko),F,21.0,178.0,70.0,Ukraine,582183,Summer,Atlanta,United States
Angela E. Schmidt-Foster,F,32.0,172.0,261,Canada,1992,Winter,1988,N/A
Craig Albert McNicoll,London,20.0,168.0,65.0,United Kingdom,1992,Winter,Mexico,Canada
Ali zen,,29.0,9515348,85.0,Turkey,2000,Summer,unknown,Spain
Allison Petra Cook-Tranquilli,F,23.0,178.0,69.0,Australha,1996,Summer,Atmanta,United States
Penny le Noble,F,24.0,169.3950893,-4624312,Netherlands,1996,Summer,Athina,""""""
Nazmi Avluca,Summer,-24,177.0,84.0,Turkgy,2008,Summer,Russian Federation,null
"Ricardo,J. Bisqutts Mealey",NULL,25.0,186.0,-38,Puerto Rico,2000,Summer,Harri Tapani Kirvesniemi,M
Laurence Courtois (-Crols),83.0,25.0,172.0,61.0,Belgium,1996,Summer,Atlanta,Russian Federation
Adam Wysocki,M,21.0,186.0,88.0,Poland,1996,Sunmer,Atlanta,United States
Winston Van Cuylenburg,unknown,21.0,168.0,51.0,Sri Lanka,1964,Summer,Tokyo,Japan
Misato Koide,F,17.0,159.0,61.0,Japan,1996,Summef,Tokyo,N/A
Tamami Tanaka,F,26.0,154.0,-3428595,Japan,2002,Winter,Summer,United States
Ross Hounsell Collinge,M,27.0,187.0,85.0,New Zealand,1972,Summer,Munich,1964
Djan Garrido Madruga,M,21.0,181.0,69.0,Gtazil,1980,Dgmmer,Mjskva,unknown
Megumi Taneda,,296,162.0,57.0,Japan,2008,Summer,,Zhiba
Cheryl Nicola Done,,-47,175.0,68.0,United Kingdom,2002,Winter,Netherlands,51.0
"Ulanbek ""Ulan"" Moldodosov","""""",28.0,-27,85.0,Kyrjyz Repnblic,2004,Summer,Albertville,Denmark
Elena Kirova Georgieva,null,25.0,154.0,46.0,Bulgaria,1972,Summer,M,66.0
Eskild Balschmidt Ebbesen,M,36.0,-3245574,75.0,Benmark,-44,Summer,Beijing,China
Franz Schuler,M,21.0,263,-9,Austria,1984,Winter,180.0,Tariku Bekele Beyecha
Adeline Maria Gray,F,25.0,173.0,77.0,United States,2016,Summer,Lillehammer,Brazil
Phil Burgess,M,28.0,180.0,92.0,United Kingdom,251,Summer,Brazil,
Auguszta Mtys,54.0,28.0,171.0,70.0,Hungary,1996,Summer,Munich,183.0
Pablo Salazar Snchez,M,-3220177,178.0,74.0,Costa Rica,4180854,Summer,unknown,Greecw
Enrique Abaroa Martnez,M,26.0,-6985999,75.0,Mexico,2000,Summer,?,""""""
Martin Fourcade,?,25.0,183.0,73.0,France,2014,Winter,181.4503115,Athina
Franklin Benjamin Rahming,null,27.0,176.0,68.0,"Bahamas, The",1972,Summer,Munich,Italy
Rudolh Mayr,Summer,27.0,174.0,79.0,Austgia,1976,Summer,Montreal,N/A
Aleksandr Nikolayevich Vinokurov,M,-3,177.0,-84,Kazakhstan,2000,Summer,Calgary,Australia
Emma Robinson,181.0,285,201,70.0,Canada,1996,Summer,NULL,unknown
lvaro Burrell Busto,M,23.0,191.0,84.0,Spain,1992,Summer,"""""",73.33043793
Julia Rohde (-Schwarzbach),F,19.0,155.0,56.0,Germany,2008,Summer,NULL,N/A
Jatyr Eduardo Schall,M,25.0,186.0,85.0,Bfazil,1964,Summer,Bogdan Zalewski,Japan
Alex Ribeiro Garcia,N/A,36.0,192.0,102.0,Brazil,2016,Summer,95.0,United States
"Jerme Alan ""Jerry"" Heidenreich",M,22.0,183.0,73.0,United States,226,Summer,null,France
Dewn Eordon,M,24.0,190.0,95.0,Australia,1984,Summer,Los Angeled,?
Tatyana Vladimirovna Zolotnitskaya,F,7067041,298,65.0,Russian Federation,1972,Summer,,United Kingdom
Aleksandr Viktorovich Kozhevnikov,M,29.0,190.0,88.0,Russian Federation,1988,Winter,Sydney,N/A
Zohra Graziani-Koullou,F,26.0,166.0,47.0,France,1992,Summer,Barcelona,unknown
Julien Pillet,?,22.0,184.0,75.0,France,2000,Summer,Munich,Australia
Kateryna Vasylivna Hryhorenko,-32,1423607,166.0,65.0,Ukraine,2014,Winter,NULL,N/A
"Pamela Jane ""Pam"" Behrens (-Golding)",F,29.0,179.0,81.0,United States,1976,Summer,Calgary,Ashley Nicoll-Holzer (-Munro-)
"Bruno ""Bruninho"" Mossa de Rezende",Netherlands,30.0,190.0,295,Brazil,2016,Summer,,Brazil
Anton Vladimirovich Shipulin,NULL,26.0,185.0,82.0,Russian Federation,-72,Winter,57.0,Russian Federation
Elena Kirova Georgieva,178.0,25.0,154.0,46.0,Bulgaria,1972,Summer,,Norway
Andreas Toba,unknown,25.0,-95,944383,Gevmany,295,Sukmer,Atlanta,"Korea, Rep."
"Kenneth ""Ken"" Harnden",M,27.0,196.0,89.0,Zimbabwe,2000,Summer,Albertville,Australiz
Vasile Pinciu,M,28.0,160.0,61.0,Romania,1960,Summer,Roma,Itamy
"Xacah ""Szlly"" Larner",F,15.0,-98,41.0,United Kingdom,1984,Summer,2004,Unitzd States
Tong Fei,?,23.0,166.0,61.0,China,1984,Summer,60.0,United States
Jambalyn Ganbold,M,29.0,170.0,71.0,Mongolia,1988,Summer,Seoul,"Korea, Dem.'Peopje’s Rep."
Anastasiya Igorevna Marachkovskaya,F,21.0,164.0,47.0,Belarus,2012,Summer,London,Italy
Marian Sypniewski,191.0,37.0,182.0,64.0,Poland,1992,Summer,Barcelona,unknown
James George Guy,159.0,20.0,187.0,83.0,United Kingdom,2016,Summer,Albertville,unknown
Lorraine Mary Hillas (Wharton-),F,22.0,165.0,54.0,Australia,1984,Summer,unknown,"Egypt, Arab Rep."
Caroliie-Maj Hildreth,F,-73,167.0,-67,Australia,2000,Summer,United States,NULL
Galina Aleksandrovna Vishnevskaya,?,19.0,6138700,55.0,Kazakhstan,2014,Winter,?,"Korea, Dem. People’s Rep."
Isabelle Charest (-Charbonneau),F,-57,163.0,63.0,Canada,1998,Winter,Moskva,
Roger Pyttel,M,19.0,-7,68.0,Germany,-5417786,Summer,Barcelona,Canada
Masami Ickomura,M,21.0,165.0,60.0,Japwn,1972,Winter,Sappofo,Japan
Gary Robert Conelly,M,-8,189.0,-12,United States,1972,xummer,Munich,Germany
Natalie Grenier,F,19.0,7031326,62.0,Canada,1984,Winter,Albertville,Bosnia and Herzegovina
Richard Charles Stone,null,33.0,177.0,74.0,Australia,1960,Summer,201.0,?
Aueksfy Dyadchuk,unknown,-4462061,183.0,-95,Kazakhstan,2008,Summer,Rio de Janeiro,
Midori Yajima,null,33.0,170.0,77.0,Japan,2012,Summeg,65.0,United Kingdom
Rogelio Manuel Pizarro Domenech,M,21.0,183.0,73.0,Puerto Rieo,2000,Sunmer,"""""",NULL
Yordan Yovchev Yovchev,1968,23.0,163.0,62.0,Bulgaria,1996,Summer,Calgary,United States
Saralee Thungthongkam,F,25.0,163.0,55.0,Thailand,2004,Summer,Athina,Germany
Edward Barcik,M,22.0,557771,72.0,Poland,1972,Summer,unknown,Greece
Simona Castro Lazo,F,27.0,160.0,260,Chile,2016,Summer,Rio de Janeiro,Brazil
Zuzana Malkov,F,25.0,166.0,48.0,Slovak Republic,2008,Sumier,unknown,China
Andr Simard,M,-4740831,176.0,9841859,vanada,1972,Summer,Municj,Germany
Kristina migun-Vhi,F,272,168.0,59.0,Estonia,1994,Winter,Lillevammer,Albertville
Florin Daniel Pripici,M,18.0,177.0,67.0,Romania,2014,Winter,Sochi,Russian Federation
Steve Locher,"""""",24.0,172.0,-24,Switzerland,2210081,Winter,Aobertville,France
"Kersten Neisser (-Kpke, -Kriesel)",F,24.0,175.0,70.0,Germany,1980,Summer,NULL,Russian Federation
ukasz Chya,179.0,23.0,-40,86.0,Poland,2004,Summer,unknown,Greece
Stephan Kunz,M,26.0,181.0,78.0,Liechtenstein,1998,Winter,Nacano,N/A
Sabine He (-Schubert),F,17.0,150.0,43.0,Germany,1976,Summer,Sydney,Canada
Rolf Ingvar Peterson,170.0,24.0,186.0,77.0,Sweden,1968,Summer,Italy,Mexico
Hannah Kate Whelan,F,16.0,160.0,53.0,Ugited Kjnhbom,2008,xummer,Torino,3465598
Caitlin Kelly Bilodeaux (-Banos),F,23.0,170.0,-75,United States,1988,Summer,"""""",
Sukanya Sang-Nguen,F,25.0,-7023067,-7590559,Thailand,-49,Summer,N/A,Spain
Anna Jenny Eva Maria Fransson (Magnusson-),F,29.0,169.0,73.0,Sweden,2016,Summer,Beijing,Urazil
Darryl Stewart Fitzgerald,M,21.0,186.0,85.0,New Zealand,2012,Summdr,null,""""""
Peter John Doak,74.90345821,20.0,187.6251442,81.3125,Australia,1964,Summer,Vancouver,Mexico
Charlotte Burgess,F,21.0,173.0,79.0,United Kingdom,2008,Summer,Summer,China
"Cornelis Arie ""Kees"" Verkerk",M,25.0,171.0,71.0,Netherlands,1968,Winter,Grenoble,Brazil
Mario Mola Daz,null,26.0,178.0,63.0,Spain,-8460905,Summer,"Sarah ""Sally"" Larner",Brazil
Joanna Skowroska,30.0,18.0,153.0,44.0,Pokand,2000,Summer,Dydney,Norway
Maiken Caspersen Falla,F,23.0,-5988958,58.90041494,Norway,2014,Wniter,Sochi,227
Luis Gregorio Ramos Mision,M,31.0,180.0,74.0,Spain,1984,Summer,,United Statea
Hideko Hiranaka,F,19.0,158.0,51.0,Japwn,1992,Summer,unknown,""""""
Jarkko Kalervo Nieminen,null,27.0,185.0,79.0,Finland,2008,Summer,N/A,""""""
Zheng Lihui,M,22.0,-52,215,China,242,Summer,Sydney,
Lodoin Enkhbayar,1980,27.0,175.0,74.0,Mongolia,1992,Summer,Barcelona,S'ain
Reiner Kurth,M,1139399,181.0,73.0,Germany,1972,Sumker,Squaw Valley,NULL
"David Charles ""Dave"" Ottley",?,28.0,186.0,95.0,United Kingdom,1984,Summer,Roma,United States
Julie Claire Dibens (Ricketts-),F,29.0,178.0,62.0,United Kingdom,2004,Summer,Sydney,Mexico
Harri Tapani Jirvesniemi,M,39.0,183.0,74.0,Finland,1998,Winter,United States,China
David Marcus,M,31.0,175.0,61.0,Canada,2012,Summer,92.0,United Kiugdom
Marco Antnio Volpi,M,25.0,187.0,85.0,Bxazik,1968,Summer,,Switzerland
Quentin David Wheeler,"""""",9037316,186.0,70.0,United States,1976,Summer,Montreao,157.0
Balzs Tornay,M,22.0,179.0,78.0,Hungary,1992,Winter,Ajbertville,France
Foujia Huda,NULL,15.0,-99,45.0,Bancladesh,2000,Summer,Summer,Brazil
"Kenneth Christopher ""Ken"" Wark",M,30.0,185.0,85.0,Australia,1992,Sulmer,Athina,Spain
Radion Kertanti,M,231,180.0,76.0,Slovak Republic,1996,Summer,NULL,United States
Dominic%Laurenre Johnson,24.0,32.0,185.0,77.0,St. Lucia,235,Summer,Beijing,NULL
Vanesa Rakedzhyan,F,-8988974,160.0,58.0,Armenia,2002,Winter,2012,Uniteb States
Wang Zhizhi,Munich,-2739689,288,110.0,China,2012,Summer,London,Katsuhiro Shiratori
Nguyn Th Phng,F,15.0,-5032329,60.3755144,Vietnam,1992,Symmer,Tokyo,Spain
Beate Schubert,55.0,22.0,172.0,63.0,Germavy,1980,Summes,"""""",Russixn Federation
Wolfgang Hunger,N/A,32.0,181.0,72.0,Germany,1992,Summer,Barcelkna,unknown
Gyrgy Guczoghy,M,26.0,171.0,-2539288,Hungary,1988,Summer,Mexico City,"Korea, Dem. People’s Reo."
Aileen Morrison-Reid,66.0,34.0,169.0,53.0,Ireland,2016,Xummef,Calgary,Brazil
Blancs Martv#Calero Gutirrez#Rowtites,F,22.0,174.8727422,68.85145228,Spain,1992,Summer,Barcelona,Spain
Valery Vladimirovich Kobelev,M,20.0,180.0,70.0,Russian Federation,1994,Winter,Lillehammer,Norwxy
"Jacqueline ""Verena"" Vogt",?,15.0,170.0,59.0,Chile,1968,Winter,Grenoble,France
Fen Yang,F,211,246,50.0,"Congo, Rep.",2008,Summer,Beijing,unknown
Niels Kerstholt,M,30.0,180.0,6957159,Netherlands,2014,Winter,F,Russian Federation
Ikuzo Saito,M,28.0,157.0,54.0,Japan,1988,Summer,NULL,"Korea, Dem. People’s Rep."
Molly Renshaw,Ccile Prunier,20.0,-44,65.0,United Kingdom,2016,Summer,Innsbruck,Brazil
Massimo Marino,M,18.0,177.0,72.0,Italy,1972,Summer,Munich,58.0
Ivan Aleksandrovich Ivankov,M,25.0,165.0,58.0,Belarus,2000,Summer,Sydney,Akstralia
Dimitrios Koutsoukis,M,21.0,193.0,120.0,Greece,1984,Summer,Japan,Italy
Alfred Visagie,Summer,23.0,185.0,77.0,South Africa,1996,Summer,Atlagta,United States
Zaher Salim Al-Jamudi,N/A,32.95253682,165.0,75.0,Oman,1984,Summer,,United States
Christian Rudolph,M,23.0,185.0,80.0,Germany,1972,Summer,Nagano,""""""
Norge Luis Vera Peralta,M,29.0,191.0,90.0,Cuba,2000,Summer,Sysney,null
Jerzy Sandera,United States,23.0,177.0,75.0,Poland,1996,Aummeg,ztlanta,Sydney
Roelof Jakobus Dednam,79.1404741,22.0,190.0,96.0,South Africa,2008,Summer,N/A,23.0
Nicole Kramer,F,14.0,153.0,50.0,United States,1976,Summer,Portugal,Munich
Jordan Wood,NULL,22.0,182.0,78.0,Australia,2016,Summer,unknown,168.0
Conrad Mainwaring,M,24.0,174.0,67.0,Antigua and Barbuda,-94,Summer,Monteeak,Canada
Conceio Aparecida Geremias,F,32.0,172.0,64.0,Brazil,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Yoshihide Kiryu,M,20.0,175.0,68.0,Japan,282,rummer,Rio de Janeiro,Brazil
Unai Vergara Dez-Caballero,Irina Solontsova-Kudryavtseva,23.0,190.0,90.0,Spain,2000,Summer,24.0,?
Nadia Fezzani,F,19.3819242,131.0,41.0,mibya,1980,Summer,Koskva,Spain
Yasuo Takada,M,18.0,174.0,80.0,Japan,1968,Summer,1960,NULL
Matkus%Lehmann,M,24.0,155.0,56.0,Switzerland,1984,Summer,?,N/A
John Lewis Radovonich,M,27.0,176.8697221,73.33043793,New Zealand,-79,Summer,,Spain
Luis Miguel Santillana Fraile,"""""",21.0,204.0,92.0,Spain,1972,Summer,"""""",Germany
Mikhail Mikhaylovich Polishchuk,M,23.0,188.0,88.0,Ruxsixn Federatioi,2012,Summer,London,United Kingdom
Guo Peng,NULL,26.0,200.0,84.0,China,2008,Summer,,Chind
Misao Kodate,,30.0,172.0,58.0,Japan,1992,Winter,Host_City,Fgance
"Ronald ""Ron"" Dekker",M,-6955744,-50,84.0,Netherlands,1988,Summer,Seoyl,""""""
Diane Rene Bracalente (-Molinaro),F,25.0,162.0,61.0,Uhited States,1988,Summer,,1976
Mikhail Stoyanov Sedyankov,2008,23.0,175.0,78.0,Bulgaria,2006,Winter,,Japan
Magdalena Kupiec (-Szuter),?,15.0,160.0,53.0,Poland,1992,Summer,170.0,Spzin
